id,mol_dir_name,bmrbacc,sub_id,x_chem_shift,y_chem_shift,x_width,y_width,height,volume
98,D_allose,bmse000008,34,69.499,3.747,2.326,2.417,-9277289,-44134450
99,D_allose,bmse000008,35,65.118,3.742,2.209,3.817,6237022,15933730
100,D_allose,bmse000008,36,76.284,3.709,2.527,2.379,17446410,78599720
101,D_allose,bmse000008,37,63.862,3.708,2.42,4.376,76693980,831579500
102,D_allose,bmse000008,38,63.859,3.697,2.41,5.627,69594620,1208748000
103,D_allose,bmse000008,39,76.29,3.692,2.185,2.127,-7788602,-22234350
104,D_allose,bmse000008,40,69.722,3.691,2.408,3.557,35995790,265596100
105,D_allose,bmse000008,41,76.261,3.677,2.471,2.043,8146614,20100550
106,D_allose,bmse000008,42,63.861,3.669,2.438,3.873,51321750,596424800
107,D_allose,bmse000008,43,76.288,3.653,2.157,4.336,-13757310,-83059660
108,D_allose,bmse000008,44,68.747,3.653,2.058,3.195,21336790,115169800
109,D_allose,bmse000008,45,69.49,3.639,2.265,3.23,123763800,867584200
110,D_allose,bmse000008,46,65.11,3.639,2.053,3.78,5076735,9510017
111,D_allose,bmse000008,47,76.289,3.629,2.099,4.041,31794130,203669600
112,D_allose,bmse000008,48,68.752,3.628,2.169,3.199,22706030,138236100
113,D_allose,bmse000008,49,65.081,3.618,2.087,4.972,5567026,35801160
114,D_allose,bmse000008,50,69.485,3.613,2.289,3.12,108833100,757963800
115,D_allose,bmse000008,51,65.03,3.61,2.677,5.394,5237588,43672120
116,D_allose,bmse000008,52,76.293,3.604,2.174,3.07,-7905061,-32427600
117,D_allose,bmse000008,54,73.94,3.415,2.435,3.36,137408500,1099289000
118,D_allose,bmse000008,55,96.117,3.404,2.204,3.261,11401940,57999720
119,D_allose,bmse000008,56,73.938,3.395,2.406,3.816,135027000,1494421000
120,D_fructose,bmse000010,1,83.392,4.108,2.632,2.235,6286878,18419070
121,D_fructose,bmse000010,2,77.141,4.106,2.116,3.719,86802960,577665200
122,D_fructose,bmse000010,3,78.08,4.105,2.142,3.714,94359580,713697500
123,D_fructose,bmse000010,4,84.671,4.099,2.345,3.781,19470360,156503500
124,D_fructose,bmse000010,5,77.143,4.078,2.377,2.347,9715579,34991480
125,D_fructose,bmse000010,6,84.011,4.053,2.228,8.379,12514230,133237700
126,D_fructose,bmse000010,7,66.072,4.035,2.24,2.956,152729900,878790000
127,D_fructose,bmse000010,8,67.895,4.023,2.312,10.036,4758787,30908970
128,D_fructose,bmse000010,9,66.073,4.003,2.316,2.716,193197100,1074112000
129,D_fructose,bmse000010,10,78.736,3.99,2.267,3.447,13418450,88658580
130,D_fructose,bmse000010,11,72.375,3.986,2.604,2.265,12894310,55338200
131,D_fructose,bmse000010,12,72.099,3.983,1.522,4.947,5396508,14164300
132,D_fructose,bmse000010,13,71.907,3.987,2.21,3.642,307683300,2308971000
133,D_fructose,bmse000010,14,71.681,3.984,1.615,3.676,5080752,8891288
134,D_fructose,bmse000010,15,73.155,3.937,2.152,7.068,6245558,50802960
135,D_fructose,bmse000010,16,71.911,3.907,2.115,2.633,9191457,26554800
136,D_fructose,bmse000010,17,72.582,3.903,1.944,3.168,5193627,4962271
137,D_fructose,bmse000010,18,72.383,3.903,2.163,3.264,119566900,747236900
138,D_fructose,bmse000010,19,70.258,3.886,2.347,3.687,37669050,279491400
139,D_fructose,bmse000010,20,71.917,3.879,2.724,1.98,10478210,32937900
140,D_fructose,bmse000010,21,72.8,3.873,2.268,2.641,7804628,44593860
141,D_fructose,bmse000010,22,72.383,3.876,2.129,3.467,154554700,988357800
142,D_fructose,bmse000010,23,72.152,3.872,2.035,3.731,6931342,17677490
143,D_fructose,bmse000010,24,63.853,3.864,2.446,3.214,4443552,4253850
144,D_fructose,bmse000010,25,72.813,3.859,2.243,3.011,4725165,14444150
145,D_fructose,bmse000010,26,63.789,3.828,2.138,3.549,8732930,36584190
146,D_fructose,bmse000010,27,83.389,3.817,2.19,5.937,46005870,598650000
147,D_fructose,bmse000010,28,65.073,3.809,2.289,3.026,39712410,255421900
148,D_fructose,bmse000010,29,72.383,3.796,2.222,2.777,57051520,331105700
149,D_fructose,bmse000010,30,70.463,3.799,1.724,2.846,9111939,22835710
150,D_fructose,bmse000010,31,70.258,3.8,2.433,2.558,177079200,920692700
151,D_fructose,bmse000010,32,70.028,3.798,2.034,2.603,6008968,16351450
152,D_fructose,bmse000010,33,63.791,3.796,2.218,3.174,14582620,81713880
153,D_fructose,bmse000010,34,83.39,3.788,2.186,7.006,6621343,242213600
154,D_fructose,bmse000010,35,65.071,3.778,2.204,3.393,54198730,360465100
