id,bmrbid,mol_dir_name,classification
395,bmse010422,alpha_beta_Xylose_Acetate,Misc. Compounds
396,bmse010423,lignin_cw_compound_131,"b-O-4 Dimers, 3-Carbon Sidechain"
397,bmse010424,lignin_cw_compound_133,"b-O-4 Dimers, 3-Carbon Sidechain"
398,bmse010425,lignin_cw_compound_137,"b-O-4 Dimers, 3-Carbon Sidechain"
399,bmse010426,G_beta_S5,"b-O-4 Dimers, 3-Carbon Sidechain"
400,bmse010427,lignin_cw_compound_140,"b-O-4 Dimers, 3-Carbon Sidechain"
401,bmse010428,p_Gluco_cinnamyl_alcohol,Misc. Compounds
402,bmse010430,lignin_cw_compound_172,b-1 Dimers
403,bmse010432,G_b_G_AcO,"b-O-4 Dimers, 3-Carbon Sidechain"
404,bmse010433,S_b_S_AcO,"b-O-4 Dimers, 3-Carbon Sidechain"
405,bmse010434,G_b_G_b1_G,Trimers
406,bmse010435,H_b_G_AcO,"b-O-4 Dimers, 3-Carbon Sidechain"
407,bmse010436,lignin_cw_compound_240,Monomers
408,bmse010437,H_b_G_OH,"b-O-4 Dimers, 3-Carbon Sidechain"
409,bmse010438,G_b_S_OH,"b-O-4 Dimers, 3-Carbon Sidechain"
410,bmse010439,S_b_S_OH,"b-O-4 Dimers, 3-Carbon Sidechain"
411,bmse010440,G_b_H,"b-O-4 Dimers, 3-Carbon Sidechain"
412,bmse010441,G_b_G_OH,"b-O-4 Dimers, 3-Carbon Sidechain"
413,bmse010442,H_b_S_OH,"b-O-4 Dimers, 3-Carbon Sidechain"
414,bmse010443,lignin_cw_compound_252,Misc. Compounds
415,bmse010444,lignin_cw_compound_254,Misc. Compounds
416,bmse010445,dihydrodiconiferyl_alcohol,5-5 Dimers
417,bmse010446,lignin_cw_compound_262,b-5 Dimers
418,bmse010447,lignin_cw_compound_263,Trimers
419,bmse010448,lignin_cw_compound_272,Monomers
420,bmse010449,dibenzodioxicin,Trimers
421,bmse010450,lignin_cw_compound_278,Trimers
422,bmse010451,lignin_cw_compound_293,Monomers
423,bmse010452,Veratryl_alcohol_methyl_ether,Monomers
424,bmse010453,Methoxy_hydroxy_stilbene_carboxylic_acid,Misc. Compounds
425,bmse010454,lignin_cw_compound_299,Trimers
426,bmse010455,5_O_4_diacetovanillone,5-O-4 Dimers
427,bmse010456,guaiacyl_chalcone,Misc. Compounds
428,bmse010457,345_trimethoxy_cinnamyl_alcohol,Monomers
429,bmse010458,lignin_cw_compound_2004,b-5 Dimers
430,bmse010459,lignin_cw_compound_2007,Misc. Compounds
431,bmse010460,coniferyl_benzoate,Misc. Compounds
432,bmse010461,Guaiacylglycerol_B_coniferyl,"b-O-4 Dimers, 3-Carbon Sidechain"
433,bmse010462,Guaiacylglycerol_B_coniferyl,"b-O-4 Dimers, 3-Carbon Sidechain"
434,bmse010463,lignin_cw_compound_2017,Tetramers
435,bmse010464,lignin_cw_compound_2019,b-5 Dimers
436,bmse010465,lignin_cw_compound_2021,b-5 Dimers
437,bmse010466,lignin_cw_compound_2023,Tetramers
438,bmse010467,lignin_cw_compound_2024,Tetramers
439,bmse010468,lignin_cw_compound_2025,Tetramers
440,bmse010469,lignin_cw_compound_2027,b-b Dimers
441,bmse010470,lignin_cw_compound_2028,b-b Dimers
442,bmse010471,lignin_cw_compound_2029,b-b Dimers
443,bmse010472,lignin_cw_compound_2030,b-b Dimers
444,bmse010473,lignin_cw_compound_2033,b-b Dimers
445,bmse010474,lignin_cw_compound_2034,b-b Dimers
446,bmse010475,lignin_cw_compound_2037,5-O-4 Dimers
447,bmse010476,lignin_cw_compound_2039,5-O-4 Dimers
448,bmse010477,lignin_cw_compound_2044,"b-O-4 Dimers, 3-Carbon Sidechain"
449,bmse010478,lignin_cw_compound_2045,"b-O-4 Dimers, 3-Carbon Sidechain"
450,bmse010479,lignin_cw_compound_2046,"b-O-4 Dimers, 3-Carbon Sidechain"
451,bmse010480,lignin_cw_compound_2047,Misc. Compounds
452,bmse010481,lignin_cw_compound_2048,Misc. Compounds
453,bmse010483,lignin_cw_compound_2051,b-5 Dimers
454,bmse010484,lignin_cw_compound_2054,b-5 Dimers
455,bmse010485,lignin_cw_compound_2055,Misc. Compounds
456,bmse010486,5_5_Dehydrodiferulic_Acid,5-5 Dimers
457,bmse010487,lignin_cw_compound_2059,Tetramers
458,bmse010488,lignin_cw_compound_2060,Tetramers
459,bmse010489,lignin_cw_compound_2061,Tetramers
460,bmse010490,Isotaxiresinol,b-b Dimers
461,bmse010492,lignin_cw_compound_2075,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
462,bmse010493,lignin_cw_compound_2076,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
463,bmse010494,lignin_cw_compound_2077,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
464,bmse010495,lignin_cw_compound_2078,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
465,bmse010496,lignin_cw_compound_2082,"b-O-4 Dimers, 3-Carbon Sidechain, a-C=O"
466,bmse010497,lignin_cw_compound_3007,b-1 Dimers
467,bmse010498,lignin_cw_compound_3009,Tetramers
468,bmse010499,lignin_cw_compound_3013,Trimers
469,bmse010502,lignin_cw_compound_3024,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
470,bmse010504,lignin_cw_compound_3029,Misc. Compounds
471,bmse010505,lignin_cw_compound_3030,b-5 Dimers
472,bmse010506,lignin_cw_compound_3032,b-b Dimers
473,bmse010507,lignin_cw_compound_3038,"b-O-4 Dimers, 3-Carbon Sidechain"
474,bmse010508,lignin_cw_compound_3049,Misc. Compounds
475,bmse010509,lignin_cw_compound_3050,"b-O-4 Dimers, 3-Carbon Sidechain"
476,bmse010510,lignin_cw_compound_3051,"b-O-4 Dimers, 3-Carbon Sidechain"
477,bmse010511,lignin_cw_compound_3054,"b-O-4 Dimers, 3-Carbon Sidechain"
478,bmse010512,lignin_cw_compound_3055,"b-O-4 Dimers, 3-Carbon Sidechain"
479,bmse010514,lignin_cw_compound_3057,"b-O-4 Dimers, 3-Carbon Sidechain"
480,bmse010515,lignin_cw_compound_3060,b-b Dimers
481,bmse010516,S_8_O_4_G_8_5_G,Trimers
482,bmse010517,lignin_cw_compound_3012,Trimers
483,bmse010518,lignin_cw_compound_166,"b-O-4 Dimers, 3-Carbon Sidechain"
484,bmse010519,lignin_cw_compound_168,"b-O-4 Dimers, 3-Carbon Sidechain"
485,bmse010520,Guaiacylglycerol_B_syringyl_ether,"b-O-4 Dimers, 3-Carbon Sidechain, a-C=O"
486,bmse010521,S_b_G,"b-O-4 Dimers, 3-Carbon Sidechain"
