formula,c_isotope,n_isotope,mass
"C13H16N2O5",12,14,280.105921635
"C13H16N2O5",13,14,293.149534526
"C13H16N2O5",12,15,282.099991421
"C13H16N2O5",13,15,295.143604312
"C11H11NO3",12,14,205.073893225
"C11H11NO3",13,14,216.11079644
"C11H11NO3",12,15,206.070928118
"C11H11NO3",13,15,217.107831334
"C13H16N2O6",12,14,296.100836257
"C13H16N2O6",13,14,309.144449148
"C13H16N2O6",12,15,298.094906043
"C13H16N2O6",13,15,311.138518934
"C11H11NO4",12,14,221.068807847
"C11H11NO4",13,14,232.105711063
"C11H11NO4",12,15,222.06584274
"C11H11NO4",13,15,233.102745956
"C11H11NO6",12,14,253.058637091
"C11H11NO6",13,14,264.095540307
"C11H11NO6",12,15,254.055671984
"C11H11NO6",13,15,265.0925752
"C7H4NNaO3S",12,14,204.98095836
"C7H4NNaO3S",13,14,212.004442224
"C7H4NNaO3S",12,15,205.977993253
"C7H4NNaO3S",13,15,213.001477118
"C19H23NO2",12,14,297.172878988
"C19H23NO2",13,14,316.236620906
"C19H23NO2",12,15,298.169913881
"C19H23NO2",13,15,317.233655799
"C19H23NO3",12,14,313.16779361
"C19H23NO3",13,14,332.231535528
"C19H23NO3",12,15,314.164828503
"C19H23NO3",13,15,333.228570421
"C19H23NO4",12,14,329.162708232
"C19H23NO4",13,14,348.22645015
"C19H23NO4",12,15,330.159743125
"C19H23NO4",13,15,349.223485043
"C19H23NO5",12,14,345.157622854
"C19H23NO5",13,14,364.221364772
"C19H23NO5",12,15,346.154657747
"C19H23NO5",13,15,365.218399665
"C28H31N3O6",12,14,505.221285743
"C28H31N3O6",13,14,533.315221202
"C28H31N3O6",12,15,508.212390423
"C28H31N3O6",13,15,536.306325881
"C17H12ClNO2S",12,14,329.027727035
"C17H12ClNO2S",13,14,346.084759277
"C17H12ClNO2S",12,15,330.024761928
"C17H12ClNO2S",13,15,347.08179417
"C19H23NO6",12,14,361.152537476
"C19H23NO6",13,14,380.216279394
"C19H23NO6",12,15,362.149572369
"C19H23NO6",13,15,381.213314287
"C40H68O11",12,14,724.476163026
"C40H68O11",13,14,764.610356538
"C40H68O11",12,15,724.476163026
"C40H68O11",13,15,764.610356538
"C11H17N3O7S",12,14,335.078720606
"C11H17N3O7S",13,14,346.115623822
"C11H17N3O7S",12,15,338.069825286
"C11H17N3O7S",13,15,349.106728501
"C22H27NO2",12,14,337.204179116
"C22H27NO2",13,14,359.277985548
"C22H27NO2",12,15,338.201214009
"C22H27NO2",13,15,360.275020441
"C22H27NO3",12,14,353.199093738
"C22H27NO3",13,14,375.27290017
"C22H27NO3",12,15,354.196128631
"C22H27NO3",13,15,376.269935063
"C22H27NO4",12,14,369.19400836
"C22H27NO4",13,14,391.267814792
"C22H27NO4",12,15,370.191043254
"C22H27NO4",13,15,392.264849685
"C29H38N2O4",12,14,478.283157719
"C29H38N2O4",13,14,507.380448015
"C29H38N2O4",12,15,480.277227505
"C29H38N2O4",13,15,509.374517801
"C2H3O2",12,14,59.0133043405
"C2H3O2",13,14,61.0200140161
"C2H3O2",12,15,59.0133043405
"C2H3O2",13,15,61.0200140161
"C6H15N5",12,14,157.132745508
"C6H15N5",13,14,163.152874534
"C6H15N5",12,15,162.117919974
"C6H15N5",13,15,168.138049
"C8H8F3N3O4S2",12,14,330.990831741
"C8H8F3N3O4S2",13,14,339.017670443
"C8H8F3N3O4S2",12,15,333.98193642
"C8H8F3N3O4S2",13,15,342.008775123
"C25H49NO4",12,14,427.366159067
"C25H49NO4",13,14,452.450030012
"C25H49NO4",12,15,428.36319396
"C25H49NO4",13,15,453.447064905
"C24H22N2+2",12,14,338.177201557
"C24H22N2+2",13,14,362.257717664
"C24H22N2+2",12,15,340.171271343
"C24H22N2+2",13,15,364.25178745
"C4H8O2S",12,14,120.024500191
"C4H8O2S",13,14,124.037919542
"C4H8O2S",12,15,120.024500191
"C4H8O2S",13,15,124.037919542
"C26H24O5",12,14,416.162373881
"C26H24O5",13,14,442.249599664
"C26H24O5",12,15,416.162373881
"C26H24O5",13,15,442.249599664
"C21H26ClN3OS",12,14,403.148510872
"C21H26ClN3OS",13,14,424.218962466
"C21H26ClN3OS",12,15,406.139615552
"C21H26ClN3OS",13,15,427.210067146
"C14H15ClN2",12,14,246.092376202
"C14H15ClN2",13,14,260.139343931
"C14H15ClN2",12,15,248.086445988
"C14H15ClN2",13,15,262.133413717
"C21H36O2",12,14,320.2715304
"C21H36O2",13,14,341.341981994
"C21H36O2",12,15,320.2715304
"C21H36O2",13,15,341.341981994
"C13H10Cl2",12,14,236.015955741
"C13H10Cl2",13,14,249.059568632
"C13H10Cl2",12,15,236.015955741
"C13H10Cl2",13,15,249.059568632
"C21H36O4",12,14,352.261359644
"C21H36O4",13,14,373.331811238
"C21H36O4",12,15,352.261359644
"C21H36O4",13,15,373.331811238
"C5H4N4",12,14,120.043596149
"C5H4N4",13,14,125.060370338
"C5H4N4",12,15,124.031735722
"C5H4N4",13,15,129.048509911
"C22H17ClN2",12,14,344.108026266
"C22H17ClN2",13,14,366.181832698
"C22H17ClN2",12,15,346.102096052
"C22H17ClN2",13,15,368.175902484
"C21H36O5",12,14,368.256274266
"C21H36O5",13,14,389.32672586
"C21H36O5",12,15,368.256274266
"C21H36O5",13,15,389.32672586
"C10H14N5+",12,14,204.124371895
"C10H14N5+",13,14,214.157920273
"C10H14N5+",12,15,209.109546361
"C10H14N5+",13,15,219.143094739
"C20H30N2O5S",12,14,410.187542774
"C20H30N2O5S",13,14,430.25463953
"C20H30N2O5S",12,15,412.18161256
"C20H30N2O5S",13,15,432.248709316
"C43H65N5O10",12,14,811.473143334
"C43H65N5O10",13,14,854.617401359
"C43H65N5O10",12,15,816.4583178
"C43H65N5O10",13,15,859.602575825
"C14H16O10",12,14,344.074346735
"C14H16O10",13,14,358.121314464
"C14H16O10",12,15,344.074346735
"C14H16O10",13,15,358.121314464
"C24H47NO10S",12,14,541.292067425
"C24H47NO10S",13,14,565.372583532
"C24H47NO10S",12,15,542.289102318
"C24H47NO10S",13,15,566.369618425
"C16H22N4O3",12,14,318.169190593
"C16H22N4O3",13,14,334.222867998
"C16H22N4O3",12,15,322.157330166
"C16H22N4O3",13,15,338.211007571
"C13H10ClNO2",12,14,247.04000628
"C13H10ClNO2",13,14,260.083619172
"C13H10ClNO2",12,15,248.037041174
"C13H10ClNO2",13,15,261.080654065
"C15H18N2",12,14,226.146998588
"C15H18N2",13,14,241.197321155
"C15H18N2",12,15,228.141068375
"C15H18N2",13,15,243.191390942
"C8H9N3O2",12,14,179.069476549
"C8H9N3O2",13,14,187.096315251
"C8H9N3O2",12,15,182.060581228
"C8H9N3O2",13,15,190.087419931
"C13H19N3O4",12,14,281.137556114
"C13H19N3O4",13,14,294.181169005
"C13H19N3O4",12,15,284.128660793
"C13H19N3O4",13,15,297.172273685
"C8H9N3O4",12,14,211.059305793
"C8H9N3O4",13,14,219.086144495
"C8H9N3O4",12,15,214.050410473
"C8H9N3O4",13,15,222.077249175
"C47H51NO14",12,14,853.330955352
"C47H51NO14",13,14,900.488632728
"C47H51NO14",12,15,854.327990245
"C47H51NO14",13,15,901.485667621
"C16H22N4O9",12,14,414.138678326
"C16H22N4O9",13,14,430.192355731
"C16H22N4O9",12,15,418.126817899
"C16H22N4O9",13,15,434.180495304
"C46H46N2O23",12,14,994.249135795
"C46H46N2O23",13,14,1040.40345833
"C46H46N2O23",12,15,996.243205582
"C46H46N2O23",13,15,1042.39752812
"C28H32Cl2O10P2S2",12,14,724.028917068
"C28H32Cl2O10P2S2",13,14,752.122852527
"C28H32Cl2O10P2S2",12,15,724.028917068
"C28H32Cl2O10P2S2",13,15,752.122852527
"C4H8O3S",12,14,136.019414813
"C4H8O3S",13,14,140.032834164
"C4H8O3S",12,15,136.019414813
"C4H8O3S",13,15,140.032834164
"C17H26N3O15P",12,14,543.110153692
"C17H26N3O15P",13,14,560.167185934
"C17H26N3O15P",12,15,546.101258371
"C17H26N3O15P",13,15,563.158290614
"C14H21N3O2S",12,14,295.135447624
"C14H21N3O2S",13,14,309.182415353
"C14H21N3O2S",12,15,298.126552303
"C14H21N3O2S",13,15,312.173520033
"C36H60O2",12,14,524.45933117
"C36H60O2",13,14,560.580105331
"C36H60O2",12,15,524.45933117
"C36H60O2",13,15,560.580105331
"C13H20ClNO",12,14,241.123341979
"C13H20ClNO",13,14,254.166954871
"C13H20ClNO",12,15,242.120376873
"C13H20ClNO",13,15,255.163989764
"C5H4O2",12,14,96.0211293726
"C5H4O2",13,14,101.037903562
"C5H4O2",12,15,96.0211293726
"C5H4O2",13,15,101.037903562
"C52H82O2",12,14,738.631481876
"C52H82O2",13,14,790.805933442
"C52H82O2",12,15,738.631481876
"C52H82O2",13,15,790.805933442
"C5H8N4O12",12,14,316.013871743
"C5H8N4O12",13,14,321.030645932
"C5H8N4O12",12,15,320.002011316
"C5H8N4O12",13,15,325.018785505
"C5H4O3",12,14,112.016043995
"C5H4O3",13,14,117.032818184
"C5H4O3",12,15,112.016043995
"C5H4O3",13,15,117.032818184
"C12H18N2O",12,14,206.14191321
"C12H18N2O",13,14,218.182171264
"C12H18N2O",12,15,208.135982997
"C12H18N2O",13,15,220.17624105
"C15H21N3O",12,14,259.168462312
"C15H21N3O",13,14,274.218784879
"C15H21N3O",12,15,262.159566991
"C15H21N3O",13,15,277.209889558
"C11H8O2",12,14,172.052429501
"C11H8O2",13,14,183.089332717
"C11H8O2",12,15,172.052429501
"C11H8O2",13,15,183.089332717
"C11H8O3",12,14,188.047344123
"C11H8O3",13,14,199.084247339
"C11H8O3",12,15,188.047344123
"C11H8O3",13,15,199.084247339
"C11H8O4",12,14,204.042258745
"C11H8O4",13,14,215.079161961
"C11H8O4",12,15,204.042258745
"C11H8O4",13,15,215.079161961
"C11H8O5",12,14,220.037173367
"C11H8O5",13,14,231.074076583
"C11H8O5",12,15,220.037173367
"C11H8O5",13,15,231.074076583
"C15H10ClN3O3",12,14,315.041068913
"C15H10ClN3O3",13,14,330.09139148
"C15H10ClN3O3",12,15,318.032173592
"C15H10ClN3O3",13,15,333.08249616
"C11H8O6",12,14,236.032087989
"C11H8O6",13,14,247.068991205
"C11H8O6",12,15,236.032087989
"C11H8O6",13,15,247.068991205
"C6H12N3PS",12,14,189.048954601
"C6H12N3PS",13,14,195.069083628
"C6H12N3PS",12,15,192.04005928
"C6H12N3PS",13,15,198.060188307
"CH5N3O",12,14,75.0432617982
"CH5N3O",13,14,76.046616636
"CH5N3O",12,15,78.0343664778
"CH5N3O",13,15,79.0377213156
"C6H14ClNO2S",12,14,199.043377099
"C6H14ClNO2S",13,14,205.063506126
"C6H14ClNO2S",12,15,200.040411992
"C6H14ClNO2S",13,15,206.060541019
"C51H82O21",12,14,1030.5348597
"C51H82O21",13,14,1081.70595642
"C51H82O21",12,15,1030.5348597
"C51H82O21",13,15,1081.70595642
"C25H30O12",12,14,522.173726428
"C25H30O12",13,14,547.257597373
"C25H30O12",12,15,522.173726428
"C25H30O12",13,15,547.257597373
"C51H82O23",12,14,1062.52468894
"C51H82O23",13,14,1113.69578567
"C51H82O23",12,15,1062.52468894
"C51H82O23",13,15,1113.69578567
"C15H18O2",12,14,230.130679822
"C15H18O2",13,14,245.181002389
"C15H18O2",12,15,230.130679822
"C15H18O2",13,15,245.181002389
"C15H18O3",12,14,246.125594444
"C15H18O3",13,14,261.175917011
"C15H18O3",12,15,246.125594444
"C15H18O3",13,15,261.175917011
"C33H24O10",12,14,580.136946991
"C33H24O10",13,14,613.247656639
"C33H24O10",12,15,580.136946991
"C33H24O10",13,15,613.247656639
"C20H27NO11",12,14,457.158410715
"C20H27NO11",13,14,477.225507471
"C20H27NO11",12,15,458.155445608
"C20H27NO11",13,15,478.222542364
"C15H18O4",12,14,262.120509066
"C15H18O4",13,14,277.170831633
"C15H18O4",12,15,262.120509066
"C15H18O4",13,15,277.170831633
"C20H27NO12",12,14,473.153325337
"C20H27NO12",13,14,493.220422093
"C20H27NO12",12,15,474.15036023
"C20H27NO12",13,15,494.217456986
"C15H18O5",12,14,278.115423688
"C15H18O5",13,14,293.165746255
"C15H18O5",12,15,278.115423688
"C15H18O5",13,15,293.165746255
"C27H36F2O5",12,14,478.253080666
"C27H36F2O5",13,14,505.343661287
"C27H36F2O5",12,15,478.253080666
"C27H36F2O5",13,15,505.343661287
"C15H18O6",12,14,294.11033831
"C15H18O6",13,14,309.160660877
"C15H18O6",12,15,294.11033831
"C15H18O6",13,15,309.160660877
"C36H51N3O10",12,14,685.357444874
"C36H51N3O10",13,14,721.478219035
"C36H51N3O10",12,15,688.348549553
"C36H51N3O10",13,15,724.469323714
"C27H36F2O6",12,14,494.247995288
"C27H36F2O6",13,14,521.338575909
"C27H36F2O6",12,15,494.247995288
"C27H36F2O6",13,15,521.338575909
"C12H8N4O6S",12,14,336.0164547
"C12H8N4O6S",13,14,348.056712754
"C12H8N4O6S",12,15,340.004594273
"C12H8N4O6S",13,15,352.044852327
"C15H18O7",12,14,310.105252932
"C15H18O7",13,14,325.1555755
"C15H18O7",12,15,310.105252932
"C15H18O7",13,15,325.1555755
"C28H52O12",12,14,580.345877134
"C28H52O12",13,14,608.439812593
"C28H52O12",12,15,580.345877134
"C28H52O12",13,15,608.439812593
"C15H18O8",12,14,326.100167555
"C15H18O8",13,14,341.150490122
"C15H18O8",12,15,326.100167555
"C15H18O8",13,15,341.150490122
"C16H20N2O9S2",12,14,448.061021631
"C16H20N2O9S2",13,14,464.114699036
"C16H20N2O9S2",12,15,450.055091418
"C16H20N2O9S2",13,15,466.108768822
"C15H18O9",12,14,342.095082177
"C15H18O9",13,14,357.145404744
"C15H18O9",12,15,342.095082177
"C15H18O9",13,15,357.145404744
"C12H15N5O3",12,14,277.117489374
"C12H15N5O3",13,14,289.157747427
"C12H15N5O3",12,15,282.10266384
"C12H15N5O3",13,15,294.142921893
"C13H15NO2",12,14,217.110278731
"C13H15NO2",13,14,230.153891622
"C13H15NO2",12,15,218.107313624
