formula,c_isotope,n_isotope,mass
"C5H12N2O3S",13,14,185.073637141
"C5H12N2O3S",12,15,182.050932738
"C5H12N2O3S",13,15,187.067706927
"C51H84O23",12,14,1064.540339
"C51H84O23",13,14,1115.71143573
"C51H84O23",12,15,1064.540339
"C51H84O23",13,15,1115.71143573
"C12H16O2",12,14,192.115029758
"C12H16O2",13,14,204.155287811
"C12H16O2",12,15,192.115029758
"C12H16O2",13,15,204.155287811
"C25H32O13",12,14,540.184291114
"C25H32O13",13,14,565.26816206
"C25H32O13",12,15,540.184291114
"C25H32O13",13,15,565.26816206
"C25H32O14",12,14,556.179205737
"C25H32O14",13,14,581.263076682
"C25H32O14",12,15,556.179205737
"C25H32O14",13,15,581.263076682
"C12H16O3",12,14,208.10994438
"C12H16O3",13,14,220.150202433
"C12H16O3",12,15,208.10994438
"C12H16O3",13,15,220.150202433
"C24H51NO7P+",12,14,496.339765927
"C24H51NO7P+",13,14,520.420282034
"C24H51NO7P+",12,15,497.33680082
"C24H51NO7P+",13,15,521.417316927
"C12H16O4",12,14,224.104859002
"C12H16O4",13,14,236.145117056
"C12H16O4",12,15,224.104859002
"C12H16O4",13,15,236.145117056
"C12H16O6",12,14,256.094688246
"C12H16O6",13,14,268.1349463
"C12H16O6",12,15,256.094688246
"C12H16O6",13,15,268.1349463
"C12H16O7",12,14,272.089602868
"C12H16O7",13,14,284.129860922
"C12H16O7",12,15,272.089602868
"C12H16O7",13,15,284.129860922
"C59H96O27",12,14,1236.61389788
"C59H96O27",13,14,1295.81183331
"C59H96O27",12,15,1236.61389788
"C59H96O27",13,15,1295.81183331
"C59H96O29",12,14,1268.60372712
"C59H96O29",13,14,1327.80166255
"C59H96O29",12,15,1268.60372712
"C59H96O29",13,15,1327.80166255
"C13H17NO2",12,14,219.125928795
"C13H17NO2",13,14,232.169541686
"C13H17NO2",12,15,220.122963688
"C13H17NO2",13,15,233.16657658
"C28H50O",12,14,402.386166227
"C28H50O",13,14,430.480101685
"C28H50O",12,15,402.386166227
"C28H50O",13,15,430.480101685
"C13H17NO3",12,14,235.120843417
"C13H17NO3",13,14,248.164456309
"C13H17NO3",12,15,236.11787831
"C13H17NO3",13,15,249.161491202
"C13H17NO4",12,14,251.115758039
"C13H17NO4",13,14,264.159370931
"C13H17NO4",12,15,252.112792932
"C13H17NO4",13,15,265.156405824
"C15H16N2O6S2",12,14,384.044977637
"C15H16N2O6S2",13,14,399.095300204
"C15H16N2O6S2",12,15,386.039047423
"C15H16N2O6S2",13,15,401.08936999
"C9H12N2O",12,14,164.094963018
"C9H12N2O",13,14,173.125156558
"C9H12N2O",12,15,166.089032804
"C9H12N2O",13,15,175.119226344
"C9H12N2S",12,14,180.072119086
"C9H12N2S",13,14,189.102312626
"C9H12N2S",12,15,182.066188872
"C9H12N2S",13,15,191.096382412
"C19H39N5O7",12,14,449.284948633
"C19H39N5O7",13,14,468.348690551
"C19H39N5O7",12,15,454.270123099
"C19H39N5O7",13,15,473.333865017
"C10H13O10P",12,14,324.024633148
"C10H13O10P",13,14,334.058181526
"C10H13O10P",12,15,324.024633148
"C10H13O10P",13,15,334.058181526
"C27H40O2",12,14,396.302830528
"C27H40O2",13,14,423.393411149
"C27H40O2",12,15,396.302830528
"C27H40O2",13,15,423.393411149
"C15H12N2O2",12,14,252.08987764
"C15H12N2O2",13,14,267.140200207
"C15H12N2O2",12,15,254.083947426
"C15H12N2O2",13,15,269.134269993
"C27H40O3",12,14,412.29774515
"C27H40O3",13,14,439.388325771
"C27H40O3",12,15,412.29774515
"C27H40O3",13,15,439.388325771
"C15H18Cl3NO",12,14,333.045397335
"C15H18Cl3NO",13,14,348.095719902
"C15H18Cl3NO",12,15,334.042432228
"C15H18Cl3NO",13,15,349.092754795
"C15H12N2O3",12,14,268.084792262
"C15H12N2O3",13,14,283.135114829
"C15H12N2O3",12,15,270.078862048
"C15H12N2O3",13,15,285.129184615
"C41H65NO10",12,14,731.460847313
"C41H65NO10",13,14,772.598395663
"C41H65NO10",12,15,732.457882206
"C41H65NO10",13,15,773.595430556
"C27H40O4",12,14,428.292659772
"C27H40O4",13,14,455.383240393
"C27H40O4",12,15,428.292659772
"C27H40O4",13,15,455.383240393
"C27H40O6",12,14,460.282489017
"C27H40O6",13,14,487.373069637
"C27H40O6",12,15,460.282489017
"C27H40O6",13,15,487.373069637
"C18H28N6O",12,14,344.232459552
"C18H28N6O",13,14,362.292846633
"C18H28N6O",12,15,350.214668911
"C18H28N6O",13,15,368.275055992
"C21H41N5O7",12,14,475.300598697
"C21H41N5O7",13,14,496.371050291
"C21H41N5O7",12,15,480.285773163
"C21H41N5O7",13,15,501.356224757
"C21H41N5O8",12,14,491.295513319
"C21H41N5O8",13,14,512.365964913
"C21H41N5O8",12,15,496.280687785
"C21H41N5O8",13,15,517.351139379
"C19H22N2O2",12,14,310.168127961
"C19H22N2O2",13,14,329.231869879
"C19H22N2O2",12,15,312.162197747
"C19H22N2O2",13,15,331.225939665
"C19H22N2O3",12,14,326.163042583
"C19H22N2O3",13,14,345.226784501
"C19H22N2O3",12,15,328.157112369
"C19H22N2O3",13,15,347.220854288
"C2H5AsO5",12,14,183.935294671
"C2H5AsO5",13,14,185.942004347
"C2H5AsO5",12,15,183.935294671
"C2H5AsO5",13,15,185.942004347
"C8H12ClN7O",12,14,257.079185754
"C8H12ClN7O",13,14,265.106024456
"C8H12ClN7O",12,15,264.058430006
"C8H12ClN7O",13,15,272.085268708
"CH4N2O2",12,14,76.027277383
"CH4N2O2",13,14,77.0306322208
"CH4N2O2",12,15,78.0213471694
"CH4N2O2",13,15,79.0247020072
"C45H75NO17",12,14,901.503499988
"C45H75NO17",13,14,946.654467689
"C45H75NO17",12,15,902.500534882
"C45H75NO17",13,15,947.651502583
"C42H72O14",12,14,800.492207021
"C42H72O14",13,14,842.633110208
"C42H72O14",12,15,800.492207021
"C42H72O14",13,15,842.633110208
"C28H47N5O18",12,14,741.291609733
"C28H47N5O18",13,14,769.385545191
"C28H47N5O18",12,15,746.276784199
"C28H47N5O18",13,15,774.370719657
"C13H13N5O5S2",12,14,383.035809934
"C13H13N5O5S2",13,14,396.079422825
"C13H13N5O5S2",12,15,388.0209844
"C13H13N5O5S2",13,15,401.064597291
"C4H10N2O2",12,14,118.074227576
"C4H10N2O2",13,14,122.087646927
"C4H10N2O2",12,15,120.068297362
"C4H10N2O2",13,15,124.081716713
"C4H10N2O3",12,14,134.069142198
"C4H10N2O3",13,14,138.082561549
"C4H10N2O3",12,15,136.063211984
"C4H10N2O3",13,15,140.076631335
"C33H47N5O8S",12,14,673.314534202
"C33H47N5O8S",13,14,706.425243849
"C33H47N5O8S",12,15,678.299708667
"C33H47N5O8S",13,15,711.410418315
"C35H44N2O10",12,14,652.299595644
"C35H44N2O10",13,14,687.417014967
"C35H44N2O10",12,15,654.29366543
"C35H44N2O10",13,15,689.411084753
"C11H21N",12,14,167.167399679
"C11H21N",13,14,178.204302895
"C11H21N",12,15,168.164434572
"C11H21N",13,15,179.201337788
"C33H68",12,14,464.532102183
"C33H68",13,14,497.64281183
"C33H68",12,15,464.532102183
"C33H68",13,15,497.64281183
"C45H74N7O20P3S",12,14,1157.39221807
"C45H74N7O20P3S",13,14,1202.54318577
"C45H74N7O20P3S",12,15,1164.37146233
"C45H74N7O20P3S",13,15,1209.52243003
"C5H9NO2",12,14,115.063328538
"C5H9NO2",13,14,120.080102727
"C5H9NO2",12,15,116.060363431
"C5H9NO2",13,15,121.07713762
"C6H2Cl2O4",12,14,207.933013973
"C6H2Cl2O4",13,14,213.953142999
"C6H2Cl2O4",12,15,207.933013973
"C6H2Cl2O4",13,15,213.953142999
"C13H10ClN3O4S2",12,14,370.980124915
"C13H10ClN3O4S2",13,14,384.023737806
"C13H10ClN3O4S2",12,15,373.971229595
"C13H10ClN3O4S2",13,15,387.014842486
"C5H9NO3",12,14,131.05824316
"C5H9NO3",13,14,136.075017349
"C5H9NO3",12,15,132.055278054
"C5H9NO3",13,15,137.072052243
"C5H9NO4",12,14,147.053157782
"C5H9NO4",13,14,152.069931972
"C5H9NO4",12,15,148.050192676
"C5H9NO4",13,15,153.066966865
"C5H9NO5",12,14,163.048072405
"C5H9NO5",13,14,168.064846594
"C5H9NO5",12,15,164.045107298
"C5H9NO5",13,15,169.061881487
"C16H11ClN4",12,14,294.067224084
"C16H11ClN4",13,14,310.120901489
"C16H11ClN4",12,15,298.055363657
"C16H11ClN4",13,15,314.109041061
"C29H40N8O5",12,14,580.312166436
"C29H40N8O5",13,14,609.409456732
"C29H40N8O5",12,15,588.288445582
"C29H40N8O5",13,15,617.385735878
"C11H14NO4P",12,14,255.066044453
"C11H14NO4P",13,14,266.102947669
"C11H14NO4P",12,15,256.063079346
"C11H14NO4P",13,15,267.099982562
"C20H28N10O21P4",12,14,868.038094055
"C20H28N10O21P4",13,14,888.105190811
"C20H28N10O21P4",12,15,878.008442987
"C20H28N10O21P4",13,15,898.075539743
"C9H23NO3PS+",12,14,256.11307723
"C9H23NO3PS+",13,14,265.14327077
"C9H23NO3PS+",12,15,257.110112123
"C9H23NO3PS+",13,15,266.140305663
"C7H14O",12,14,114.104465072
"C7H14O",13,14,121.127948936
"C7H14O",12,15,114.104465072
"C7H14O",13,15,121.127948936
"C24H14O11",12,14,478.053611293
"C24H14O11",13,14,502.1341274
"C24H14O11",12,15,478.053611293
"C24H14O11",13,15,502.1341274
"C17H30N2O12S",12,14,486.151945129
"C17H30N2O12S",13,14,503.208977371
"C17H30N2O12S",12,15,488.146014915
"C17H30N2O12S",13,15,505.203047158
"C13H12O2",12,14,200.083729629
"C13H12O2",13,14,213.127342521
"C13H12O2",12,15,200.083729629
"C13H12O2",13,15,213.127342521
"C13H12O3",12,14,216.078644251
"C13H12O3",13,14,229.122257143
"C13H12O3",12,15,216.078644251
"C13H12O3",13,15,229.122257143
"C16H14F3N5O",12,14,349.115044697
"C16H14F3N5O",13,14,365.168722102
"C16H14F3N5O",12,15,354.100219164
"C16H14F3N5O",13,15,370.153896568
"C13H12O4",12,14,232.073558874
"C13H12O4",13,14,245.117171765
"C13H12O4",12,15,232.073558874
"C13H12O4",13,15,245.117171765
"C11H22O",12,14,170.167065328
"C11H22O",13,14,181.203968544
"C11H22O",12,15,170.167065328
"C11H22O",13,15,181.203968544
"C19H25N3O8",12,14,423.164164795
"C19H25N3O8",13,14,442.227906713
"C19H25N3O8",12,15,426.155269474
"C19H25N3O8",13,15,445.219011393
"C41H71NO4",12,14,641.538309773
"C41H71NO4",13,14,682.675858123
"C41H71NO4",12,15,642.535344666
"C41H71NO4",13,15,683.672893016
"C13H12O8",12,14,296.053217362
"C13H12O8",13,14,309.096830253
"C13H12O8",12,15,296.053217362
"C13H12O8",13,15,309.096830253
"C27H36O15",12,14,600.205420487
"C27H36O15",13,14,627.296001108
"C27H36O15",12,15,600.205420487
"C27H36O15",13,15,627.296001108
"C43H73O6P",12,14,716.514476586
"C43H73O6P",13,14,759.658734611
"C43H73O6P",12,15,716.514476586
"C43H73O6P",13,15,759.658734611
"C26H31Cl2N5O3",12,14,531.180395307
"C26H31Cl2N5O3",13,14,557.26762109
"C26H31Cl2N5O3",12,15,536.165569773
"C26H31Cl2N5O3",13,15,562.252795556
"C8H13N3O4S",12,14,247.062676611
"C8H13N3O4S",13,14,255.089515314
"C8H13N3O4S",12,15,250.053781291
"C8H13N3O4S",13,15,258.080619993
"C9H12NO6P",12,14,261.040223633
"C9H12NO6P",13,14,270.070417173
"C9H12NO6P",12,15,262.037258526
"C9H12NO6P",13,15,271.067452066
"C14H22N2O",12,14,234.173213339
"C14H22N2O",13,14,248.220181068
"C14H22N2O",12,15,236.167283125
"C14H22N2O",13,15,250.214250854
"C11H14NO6+",12,14,256.081563607
"C11H14NO6+",13,14,267.118466823
"C11H14NO6+",12,15,257.0785985
"C11H14NO6+",13,15,268.115501716
"C12H25NaO4S",12,14,288.137124651
"C12H25NaO4S",13,14,300.177382704
"C12H25NaO4S",12,15,288.137124651
"C12H25NaO4S",13,15,300.177382704
"C30H27O13+",12,14,595.144617374
"C30H27O13+",13,14,625.245262508
"C30H27O13+",12,15,595.144617374
"C30H27O13+",13,15,625.245262508
"C14H21NO11",12,14,379.111460522
"C14H21NO11",13,14,393.158428252
"C14H21NO11",12,15,380.108495416
"C14H21NO11",13,15,394.155463145
"C42H72O36",12,14,1152.38032871
"C42H72O36",13,14,1194.52123189
"C42H72O36",12,15,1152.38032871
"C42H72O36",13,15,1194.52123189
"C10H15N4O13P3",12,14,491.98484612
"C10H15N4O13P3",13,14,502.018394498
"C10H15N4O13P3",12,15,495.972985692
"C10H15N4O13P3",13,15,506.00653407
"C36H46N16Na4O21S6",12,14,1322.09384544
"C36H46N16Na4O21S6",13,14,1358.2146196
"C36H46N16Na4O21S6",12,15,1338.04640374
"C36H46N16Na4O21S6",13,15,1374.1671779
"C6H6O2S",12,14,142.008850127
"C6H6O2S",13,14,148.028979154
"C6H6O2S",12,15,142.008850127
"C6H6O2S",13,15,148.028979154
"C18H21N5O5",12,14,387.154268811
"C18H21N5O5",13,14,405.214655891
"C18H21N5O5",12,15,392.139443277
"C18H21N5O5",13,15,410.199830357
"CH3NO2",12,14,61.0163783457
"CH3NO2",13,14,62.0197331835
"CH3NO2",12,15,62.0134132389
"CH3NO2",13,15,63.0167680767
"C15H18N4O5",12,14,334.127719709
"C15H18N4O5",13,14,349.178042276
"C15H18N4O5",12,15,338.115859282
"C15H18N4O5",13,15,353.166181849
"C27H35N9O15P2",12,14,787.172784522
"C27H35N9O15P2",13,14,814.263365142
"C27H35N9O15P2",12,15,796.146098561
"C27H35N9O15P2",13,15,823.236679181
"C10H12N4O4S",12,14,284.057925584
"C10H12N4O4S",13,14,294.091473962
"C10H12N4O4S",12,15,288.046065157
"C10H12N4O4S",13,15,298.079613535
"C33H50N4O6S",12,14,630.345106048
"C33H50N4O6S",13,14,663.455815696
"C33H50N4O6S",12,15,634.333245621
"C33H50N4O6S",13,15,667.443955269
"C11H14NO6P",12,14,287.055873697
"C11H14NO6P",13,14,298.092776913
"C11H14NO6P",12,15,288.05290859
"C11H14NO6P",13,15,299.089811806
"C26H35NO4",12,14,425.256608617
"C26H35NO4",13,14,451.3438344
"C26H35NO4",12,15,426.25364351
"C26H35NO4",13,15,452.340869293
"C19H23N4O6PS",12,14,466.107591692
"C19H23N4O6PS",13,14,485.17133361
"C19H23N4O6PS",12,15,470.095731264
"C19H23N4O6PS",13,15,489.159473183
"C23H16O5",12,14,372.099773624
"C23H16O5",13,14,395.176934894
"C23H16O5",12,15,372.099773624
"C23H16O5",13,15,395.176934894
"C26H38O4",12,14,414.277009708
"C26H38O4",13,14,440.364235491
"C26H38O4",12,15,414.277009708
"C26H38O4",13,15,440.364235491
"C10H18N5O20P5",12,14,682.923320596
"C10H18N5O20P5",13,14,692.956868974
"C10H18N5O20P5",12,15,687.908495062
"C10H18N5O20P5",13,15,697.94204344
"C6H8N2O4S2",12,14,235.992548136
"C6H8N2O4S2",13,14,242.012677162
"C6H8N2O4S2",12,15,237.986617922
"C6H8N2O4S2",13,15,244.006746949
"C33H42N4O6",12,14,590.310435102
"C33H42N4O6",13,14,623.421144749
"C33H42N4O6",12,15,594.298574674
"C33H42N4O6",13,15,627.409284322
"C29H42N7O18P3S",12,14,901.151987802
"C29H42N7O18P3S",13,14,930.249278099
"C29H42N7O18P3S",12,15,908.131232055
"C29H42N7O18P3S",13,15,937.228522351
"C28H44N7O17P3S",12,14,875.172723244
"C28H44N7O17P3S",13,14,903.266658703
"C28H44N7O17P3S",12,15,882.151967497
"C28H44N7O17P3S",13,15,910.245902955
"C64H67O41+",12,14,1491.31522808
"C64H67O41+",13,14,1555.5299377
"C64H67O41+",12,15,1491.31522808
"C64H67O41+",13,15,1555.5299377
"C18H26N4O23P4",12,14,789.993829204
"C18H26N4O23P4",13,14,808.054216284
"C18H26N4O23P4",12,15,793.981968777
"C18H26N4O23P4",13,15,812.042355857
"C10H12N4O5S",12,14,300.052840206
"C10H12N4O5S",13,14,310.086388585
"C10H12N4O5S",12,15,304.040979779
"C10H12N4O5S",13,15,314.074528157
"C14H14N6O3",12,14,314.112738347
"C14H14N6O3",13,14,328.159706076
"C14H14N6O3",12,15,320.094947706
"C14H14N6O3",13,15,334.141915435
"C6H8N2O2S",12,14,172.030648201
"C6H8N2O2S",13,14,178.050777228
"C6H8N2O2S",12,15,174.024717988
"C6H8N2O2S",13,15,180.044847015
"C20H32F2O5",12,14,390.221780538
"C20H32F2O5",13,14,410.288877294
"C20H32F2O5",12,15,390.221780538
"C20H32F2O5",13,15,410.288877294
"C17H30O2",12,14,266.224580207
"C17H30O2",13,14,283.28161245
"C17H30O2",12,15,266.224580207
"C17H30O2",13,15,283.28161245
"C11H20NO12P",12,14,389.072311622
"C11H20NO12P",13,14,400.109214838
"C11H20NO12P",12,15,390.069346516
"C11H20NO12P",13,15,401.106249731
"C17H30O7",12,14,346.199153318
"C17H30O7",13,14,363.25618556
"C17H30O7",12,15,346.199153318
"C17H30O7",13,15,363.25618556
"C22H38O4Zn",12,14,430.206156308
"C22H38O4Zn",13,14,452.27996274
"C22H38O4Zn",12,15,430.206156308
"C22H38O4Zn",13,15,452.27996274
"C10H10ClNO2",12,14,211.04000628
"C10H10ClNO2",13,14,221.073554658
"C10H10ClNO2",12,15,212.037041174
"C10H10ClNO2",13,15,222.070589552
"C20H22Cl2N2O6",12,14,456.085491869
"C20H22Cl2N2O6",13,14,476.152588625
"C20H22Cl2N2O6",12,15,458.079561656
"C20H22Cl2N2O6",13,15,478.146658412
"C16H24N2O17P2",12,14,578.055020377
"C16H24N2O17P2",13,14,594.108697781
"C16H24N2O17P2",12,15,580.049090163
"C16H24N2O17P2",13,15,596.102767568
"C8H8",12,14,104.062600257
"C8H8",13,14,112.089438959
"C8H8",12,15,104.062600257
"C8H8",13,15,112.089438959
"C30H30O8",12,14,518.19406794
"C30H30O8",13,14,548.294713074
"C30H30O8",12,15,518.19406794
"C30H30O8",13,15,548.294713074
"C33H58N7O17P3S",12,14,949.282273694
"C33H58N7O17P3S",13,14,982.392983341
"C33H58N7O17P3S",12,15,956.261517946
"C33H58N7O17P3S",13,15,989.372227594
"C33H52O9",12,14,592.361133268
"C33H52O9",13,14,625.471842916
"C33H52O9",12,15,592.361133268
"C33H52O9",13,15,625.471842916
"C19H23N3",12,14,293.189197754
"C19H23N3",13,14,312.252939672
"C19H23N3",12,15,296.180302434
"C19H23N3",13,15,315.244044352
"C64H67O42+",12,14,1507.3101427
"C64H67O42+",13,14,1571.52485232
"C64H67O42+",12,15,1507.3101427
"C64H67O42+",13,15,1571.52485232
"C40H44N4O16",12,14,836.275231387
"C40H44N4O16",13,14,876.409424899
"C40H44N4O16",12,15,840.26337096
"C40H44N4O16",13,15,880.397564472
"C16H26N2O",12,14,262.204513467
"C16H26N2O",13,14,278.258190872
"C16H26N2O",12,15,264.198583254
"C16H26N2O",13,15,280.252260658
"C13H21ClN4O2S",12,14,332.107374339
"C13H21ClN4O2S",13,14,345.15098723
"C13H21ClN4O2S",12,15,336.095513912
"C13H21ClN4O2S",13,15,349.139126803
"C6H6O4S",12,14,173.998679371
"C6H6O4S",13,14,180.018808398
"C6H6O4S",12,15,173.998679371
"C6H6O4S",13,15,180.018808398
"C3H2F6O",12,14,168.000983886
"C3H2F6O",13,14,171.0110484
"C3H2F6O",12,15,168.000983886
"C3H2F6O",13,15,171.0110484
"C27H42N7O19P3S",12,14,893.146902424
"C27H42N7O19P3S",13,14,920.237483045
"C27H42N7O19P3S",12,15,900.126146677
"C27H42N7O19P3S",13,15,927.216727297
"C37H65NO14",12,14,747.440505801
"C37H65NO14",13,14,784.5646348
"C37H65NO14",12,15,748.437540694
"C37H65NO14",13,15,785.561669693
"C26H44N7O18P3S",12,14,867.167637867
"C26H44N7O18P3S",13,14,893.254863649
"C26H44N7O18P3S",12,15,874.146882119
"C26H44N7O18P3S",13,15,900.234107902
"C44H52N8O10",12,14,852.380639932
"C44H52N8O10",13,14,896.528252795
"C44H52N8O10",12,15,860.356919077
"C44H52N8O10",13,15,904.504531941
"C88H95Cl2N9O33",12,14,1875.54093205
"C88H95Cl2N9O33",13,14,1963.83615777
"C88H95Cl2N9O33",12,15,1884.51424608
"C88H95Cl2N9O33",13,15,1972.80947181
"C18H12",12,14,228.093900385
"C18H12",13,14,246.154287466
"C18H12",12,15,228.093900385
"C18H12",13,15,246.154287466
"C6H6N2O2",12,14,138.042927447
"C6H6N2O2",13,14,144.063056474
"C6H6N2O2",12,15,140.036997234
"C6H6N2O2",13,15,146.05712626
"C6H6N2O3",12,14,154.037842069
"C6H6N2O3",13,14,160.057971096
"C6H6N2O3",12,15,156.031911856
"C6H6N2O3",13,15,162.052040882
"C32H42O12",12,14,618.267626813
"C32H42O12",13,14,650.374981623
"C32H42O12",12,15,618.267626813
"C32H42O12",13,15,650.374981623
"C12H11Cl2NO",12,14,255.0217694
"C12H11Cl2NO",13,14,267.062027454
"C12H11Cl2NO",12,15,256.018804294
"C12H11Cl2NO",13,15,268.059062347
"C32H42O16",12,14,682.247285302
"C32H42O16",13,14,714.354640111
"C32H42O16",12,15,682.247285302
"C32H42O16",13,15,714.354640111
"C40H36O11",12,14,692.225761999
"C40H36O11",13,14,732.359955511
"C40H36O11",12,15,692.225761999
"C40H36O11",13,15,732.359955511
"C8H12N2O2",12,14,168.08987764
"C8H12N2O2",13,14,176.116716342
"C8H12N2O2",12,15,170.083947426
"C8H12N2O2",13,15,178.110786129
"C40H36O12",12,14,708.220676621
"C40H36O12",13,14,748.354870133
"C40H36O12",12,15,708.220676621
"C40H36O12",13,15,748.354870133
"C12H18N4O7P2S",12,14,424.037142663
"C12H18N4O7P2S",13,14,436.077400717
"C12H18N4O7P2S",12,15,428.025282236
"C12H18N4O7P2S",13,15,440.06554029
"C8H12N2O3",12,14,184.084792262
"C8H12N2O3",13,14,192.111630964
"C8H12N2O3",12,15,186.078862048
"C8H12N2O3",13,15,194.105700751
"C32H47F5O3S",12,14,606.316607065
"C32H47F5O3S",13,14,638.423961875
"C32H47F5O3S",12,15,606.316607065
"C32H47F5O3S",13,15,638.423961875
"C8H12N2O4",12,14,200.079706884
"C8H12N2O4",13,14,208.106545586
"C8H12N2O4",12,15,202.07377667
"C8H12N2O4",13,15,210.100615373
"C18H31N3O13P2",12,14,559.133211118
"C18H31N3O13P2",13,14,577.193598198
"C18H31N3O13P2",12,15,562.124315798
"C18H31N3O13P2",13,15,580.184702878
"C17H23NO3",12,14,289.16779361
"C17H23NO3",13,14,306.224825852
"C17H23NO3",12,15,290.164828503
"C17H23NO3",13,15,307.221860746
"C17H23NO4",12,14,305.162708232
"C17H23NO4",13,14,322.219740474
"C17H23NO4",12,15,306.159743125
"C17H23NO4",13,15,323.216775368
"C9H11N2O8P",12,14,306.02530185
"C9H11N2O8P",13,14,315.05549539
"C9H11N2O8P",12,15,308.019371637
"C9H11N2O8P",13,15,317.049565177
"C82H58O52",12,14,1874.18941221
"C82H58O52",13,14,1956.46450891
"C82H58O52",12,15,1874.18941221
"C82H58O52",13,15,1956.46450891
"C20H27NO3",12,14,329.199093738
"C20H27NO3",13,14,349.266190494
"C20H27NO3",12,15,330.196128631
"C20H27NO3",13,15,350.263225387
"C20H27NO5",12,14,361.188922982
"C20H27NO5",13,14,381.256019738
"C20H27NO5",12,15,362.185957876
"C20H27NO5",13,15,382.253054632
"C12H10Cl2F3NO",12,14,311.009153968
"C12H10Cl2F3NO",13,14,323.049412022
"C12H10Cl2F3NO",12,15,312.006188861
"C12H10Cl2F3NO",13,15,324.046446915
"C27H34O3",12,14,406.250794958
"C27H34O3",13,14,433.341375578
"C27H34O3",12,15,406.250794958
"C27H34O3",13,15,433.341375578
"C43H58O18",12,14,862.36231506
"C43H58O18",13,14,905.506573085
"C43H58O18",12,15,862.36231506
"C43H58O18",13,15,905.506573085
"C6H6O5S",12,14,189.993593993
"C6H6O5S",13,14,196.01372302
"C6H6O5S",12,15,189.993593993
"C6H6O5S",13,15,196.01372302
"C20H27NO7",12,14,393.178752227
"C20H27NO7",13,14,413.245848983
"C20H27NO7",12,15,394.17578712
"C20H27NO7",13,15,414.242883876
"C30H45N6O16P",12,14,776.262965939
"C30H45N6O16P",13,14,806.363611073
"C30H45N6O16P",12,15,782.245175299
"C30H45N6O16P",13,15,812.345820432
"C27H34O9",12,14,502.22028269
"C27H34O9",13,14,529.310863311
"C27H34O9",12,15,502.22028269
"C27H34O9",13,15,529.310863311
"C11H19N5S",12,14,253.136116326
"C11H19N5S",13,14,264.173019542
"C11H19N5S",12,15,258.121290792
"C11H19N5S",13,15,269.158194008
"C11H14NO9P",12,14,335.040617564
"C11H14NO9P",13,14,346.077520779
"C11H14NO9P",12,15,336.037652457
"C11H14NO9P",13,15,347.074555673
"C12H10OS2",12,14,234.017306323
"C12H10OS2",13,14,246.057564377
"C12H10OS2",12,15,234.017306323
"C12H10OS2",13,15,246.057564377
"C50H83O4P",12,14,778.602897663
"C50H83O4P",13,14,828.770639553
"C50H83O4P",12,15,778.602897663
"C50H83O4P",13,15,828.770639553
"C9H9N2NaO3",12,14,216.051086836
"C9H9N2NaO3",13,14,225.081280376
"C9H9N2NaO3",12,15,218.045156622
"C9H9N2NaO3",13,15,227.075350162
"C22H46NO7P",12,14,467.301189346
"C22H46NO7P",13,14,489.374995778
"C22H46NO7P",12,15,468.29822424
"C22H46NO7P",13,15,490.372030671
"C7H5NO3",12,14,151.026943032
"C7H5NO3",13,14,158.050426897
"C7H5NO3",12,15,152.023977925
"C7H5NO3",13,15,159.04746179
"C7H5NO4",12,14,167.021857654
"C7H5NO4",13,14,174.045341519
"C7H5NO4",12,15,168.018892547
"C7H5NO4",13,15,175.042376412
"C6H8ClN3O4S2",12,14,284.964474851
"C6H8ClN3O4S2",13,14,290.984603878
"C6H8ClN3O4S2",12,15,287.95557953
"C6H8ClN3O4S2",13,15,293.975708557
"C14H19N5O6S",12,14,385.105604059
"C14H19N5O6S",13,14,399.152571788
"C14H19N5O6S",12,15,390.090778525
"C14H19N5O6S",13,15,404.137746254
"C17H28N2O15P2",12,14,562.096491261
"C17H28N2O15P2",13,14,579.153523503
"C17H28N2O15P2",12,15,564.090561047
"C17H28N2O15P2",13,15,581.14759329
"C10H14N2O2",12,14,194.105527704
"C10H14N2O2",13,14,204.139076082
"C10H14N2O2",12,15,196.09959749
"C10H14N2O2",13,15,206.133145868
"C10H14N2O3",12,14,210.100442326
"C10H14N2O3",13,14,220.133990704
"C10H14N2O3",12,15,212.094512112
"C10H14N2O3",13,15,222.12806049
"C10H14N2O4",12,14,226.095356948
"C10H14N2O4",13,14,236.128905326
"C10H14N2O4",12,15,228.089426735
"C10H14N2O4",13,15,238.122975113
"C10H14N2O5",12,14,242.09027157
"C10H14N2O5",13,14,252.123819948
"C10H14N2O5",12,15,244.084341357
"C10H14N2O5",13,15,254.117889735
"C10H14N2O6",12,14,258.085186192
"C10H14N2O6",13,14,268.11873457
"C10H14N2O6",12,15,260.079255979
"C10H14N2O6",13,15,270.112804357
"C12H16O12",12,14,352.064175979
"C12H16O12",13,14,364.104434032
"C12H16O12",12,15,352.064175979
"C12H16O12",13,15,364.104434032
"C6H9N3O2",12,14,155.069476549
"C6H9N3O2",13,14,161.089605576
"C6H9N3O2",12,15,158.060581228
"C6H9N3O2",13,15,164.080710255
"C23H50N2O5P+",12,14,465.345185656
"C23H50N2O5P+",13,14,488.422346925
"C23H50N2O5P+",12,15,467.339255442
"C23H50N2O5P+",13,15,490.416416712
"C22H26N2O2",12,14,350.199428089
"C22H26N2O2",13,14,372.273234521
"C22H26N2O2",12,15,352.193497876
"C22H26N2O2",13,15,374.267304307
